image_key,exercise_name_ko,english_name,source_zip_path,intended_asset_path,restored_asset_path,bytes,width,height,match_method
,메도우즈 로우,메도우즈로우,,exercise_images/local_downloads/previous_style/exercise_images_64_94/85_메도우즈_로우.png,,0,,,missing_zip_entry
,힙 어브덕션,힙어브덕션,,exercise_images/local_downloads/previous_style/exercise_images_64_94/86_힙_어브덕션.png,,0,,,missing_zip_entry
,힙 어덕션,힙어덕션,,exercise_images/local_downloads/previous_style/exercise_images_64_94/87_힙_어덕션.png,,0,,,missing_zip_entry
,스플릿 스쿼트,스플릿스쿼트,,exercise_images/local_downloads/previous_style/exercise_images_64_94/88_스플릿_스쿼트.png,,0,,,missing_zip_entry
,프론트풋 엘리베이티드 스플릿 스쿼트,프론트풋엘리베이티드스플릿스쿼트,,exercise_images/local_downloads/previous_style/exercise_images_64_94/89_프론트풋_엘리베이티드_스플릿_스쿼트.png,,0,,,missing_zip_entry
,리어풋 엘리베이티드 스플릿 스쿼트,리어풋엘리베이티드스플릿스쿼트,,exercise_images/local_downloads/previous_style/exercise_images_64_94/90_리어풋_엘리베이티드_스플릿_스쿼트.png,,0,,,missing_zip_entry
,불가리안 스플릿 스쿼트,불가리안스플릿스쿼트,,exercise_images/local_downloads/previous_style/exercise_images_64_94/91_불가리안_스플릿_스쿼트.png,,0,,,missing_zip_entry
,시티드 원암 케이블 로우,시티드원암케이블로우,,exercise_images/local_downloads/previous_style/exercise_images_64_94/92_시티드_원암_케이블_로우.png,,0,,,missing_zip_entry
,케이블 원암 로우,케이블원암로우,,exercise_images/local_downloads/previous_style/exercise_images_64_94/93_케이블_원암_로우.png,,0,,,missing_zip_entry
,원암 케이블 하이 로우,원암케이블하이로우,,exercise_images/local_downloads/previous_style/exercise_images_64_94/94_원암_케이블_하이_로우.png,,0,,,missing_zip_entry
six_direction_shadow_step,6방향 섀도우 스텝,6방향섀도우스텝,assets/exercise_images/local_downloads/user_overrides/six_direction_shadow_step.png,exercise_images/local_downloads/user_overrides/six_direction_shadow_step.png,exercise_images/local_downloads/six_direction_shadow_step.png,114672,330,330,exact
